YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013    2.5974       2.5975      46.8860      46.8859       3.4606       3.4609       3.0000       3.0000      20.0000      20.0000       0.9965       0.9965      -0.0014
2014    2.6454       2.6454      46.3142      46.3141       3.4702       3.4705       3.0000       3.0000      20.0000      20.0000       1.0364       1.0364      -0.0011
2015    2.6791       2.6791      45.7891      45.7891       3.4825       3.4827       3.0000       3.0000      20.0000      20.0000       1.0795       1.0795      -0.0009
2016    2.6995       2.6995      45.3280      45.3280       3.4987       3.4989       3.0000       3.0000      20.0000      20.0000       1.1258       1.1258      -0.0007
2017    2.7097       2.7097      44.9065      44.9065       3.5185       3.5187       3.0000       3.0000      20.0000      20.0000       1.1746       1.1746      -0.0006
2018    2.7102       2.7102      44.5223      44.5224       3.5411       3.5413       3.0000       3.0000      20.0000      20.0000       1.2262       1.2262      -0.0004
2019    2.7084       2.7084      44.1504      44.1505       3.5656       3.5659       3.0000       3.0000      20.0000      20.0000       1.2803       1.2803      -0.0003
2020    2.7098       2.7098      43.8033      43.8034       3.5934       3.5936       3.0000       3.0000      20.0000      20.0000       1.3368       1.3368      -0.0001
2021    2.7256       2.7256      43.4391      43.4392       3.6253       3.6255       3.0000       3.0000      20.0000      20.0000       1.3926       1.3926       0.0000
2022    2.7462       2.7462      43.0946      43.0947       3.6604       3.6606       3.0000       3.0000      20.0000      20.0000       1.4492       1.4492       0.0001
2023    2.7655       2.7655      42.7710      42.7712       3.6973       3.6976       3.0000       3.0000      20.0000      20.0000       1.5071       1.5071       0.0001
2024    2.7836       2.7836      42.4770      42.4771       3.7359       3.7362       3.0000       3.0000      20.0000      20.0000       1.5667       1.5667       0.0002
2025    2.8058       2.8059      42.2096      42.2097       3.7765       3.7767       3.0000       3.0000      20.0000      20.0000       1.6277       1.6277       0.0003
2026    2.8372       2.8372      41.9529      41.9531       3.8182       3.8185       3.0000       3.0000      20.0000      20.0000       1.6898       1.6898       0.0003
2027    2.8712       2.8712      41.7070      41.7072       3.8599       3.8602       3.0000       3.0000      20.0000      20.0000       1.7538       1.7538       0.0003
2028    2.9016       2.9016      41.4840      41.4842       3.9012       3.9014       3.0000       3.0000      20.0000      20.0000       1.8204       1.8204       0.0004
2029    2.9212       2.9212      41.2914      41.2916       3.9412       3.9415       3.0000       3.0000      20.0000      20.0000       1.8910       1.8910       0.0004
2030    2.9284       2.9284      41.1381      41.1383       3.9802       3.9804       3.0000       3.0000      20.0000      20.0000       1.9664       1.9664       0.0004
2031    2.9226       2.9226      41.0160      41.0162       4.0173       4.0176       3.0000       3.0000      20.0000      20.0000       2.0473       2.0473       0.0004
2032    2.9061       2.9061      40.9252      40.9255       4.0531       4.0533       3.0000       3.0000      20.0000      20.0000       2.1337       2.1338       0.0003
2033    2.8824       2.8824      40.8382      40.8384       4.0876       4.0879       3.0000       3.0000      20.0000      20.0000       2.2246       2.2246       0.0003
2034    2.8485       2.8485      40.8184      40.8187       4.1228       4.1231       3.0000       3.0000      20.0000      20.0000       2.3203       2.3203       0.0002
2035    2.8021       2.8021      40.8780      40.8783       4.1599       4.1602       3.0000       3.0000      20.0000      20.0000       2.4206       2.4207       0.0002
2036    2.7413       2.7413      41.0210      41.0213       4.1998       4.2001       3.0000       3.0000      20.0000      20.0000       2.5252       2.5252       0.0001
2037    2.6717       2.6717      41.2520      41.2524       4.2434       4.2437       3.0000       3.0000      20.0000      20.0000       2.6336       2.6336       0.0000
2038    2.5984       2.5984      41.5613      41.5617       4.2905       4.2908       3.0000       3.0000      20.0000      20.0000       2.7455       2.7455      -0.0001
