YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013   14.0912      14.0914      94.1669      94.1675       9.4940       9.4945       1.8000       1.8000      30.0000      30.0000       0.7212       0.7212      -0.0011
2014   14.5842      14.5844      92.4677      92.4684       9.6227       9.6232       1.8000       1.8000      30.0000      30.0000       0.7236       0.7236      -0.0009
2015   15.1526      15.1528      90.5484      90.5492       9.7528       9.7533       1.8000       1.8000      30.0000      30.0000       0.7241       0.7241      -0.0007
2016   15.8455      15.8457      88.3462      88.3471       9.8778       9.8783       1.8000       1.8000      30.0000      30.0000       0.7222       0.7222      -0.0005
2017   16.4651      16.4652      86.2798      86.2807      10.0030      10.0034       1.8000       1.8000      30.0000      30.0000       0.7205       0.7205      -0.0003
2018   17.0824      17.0825      84.1664      84.1674      10.1257      10.1261       1.8000       1.8000      30.0000      30.0000       0.7178       0.7178      -0.0002
2019   17.6198      17.6198      82.0866      82.0876      10.2388      10.2393       1.8000       1.8000      30.0000      30.0000       0.7152       0.7152       0.0000
2020   18.0968      18.0968      79.9672      79.9682      10.3399      10.3404       1.8000       1.8000      30.0000      30.0000       0.7127       0.7127       0.0001
2021   18.5002      18.5002      77.8306      77.8316      10.4213      10.4218       1.8000       1.8000      30.0000      30.0000       0.7103       0.7103       0.0002
2022   18.8644      18.8643      75.7110      75.7120      10.4886      10.4890       1.8000       1.8000      30.0000      30.0000       0.7079       0.7079       0.0003
2023   19.1855      19.1853      73.6117      73.6127      10.5484      10.5489       1.8000       1.8000      30.0000      30.0000       0.7050       0.7050       0.0004
2024   19.5232      19.5231      71.4591      71.4602      10.6048      10.6053       1.8000       1.8000      30.0000      30.0000       0.7007       0.7007       0.0005
2025   20.0006      20.0003      69.0790      69.0800      10.6504      10.6508       1.8000       1.8000      30.0000      30.0000       0.6951       0.6951       0.0006
2026   20.5684      20.5681      66.5427      66.5437      10.6674      10.6679       1.8000       1.8000      30.0000      30.0000       0.6884       0.6884       0.0006
2027   21.1007      21.1004      64.0854      64.0864      10.6716      10.6721       1.8000       1.8000      30.0000      30.0000       0.6818       0.6818       0.0007
2028   21.7223      21.7220      61.5579      61.5589      10.6604      10.6609       1.8000       1.8000      30.0000      30.0000       0.6738       0.6738       0.0007
2029   22.2715      22.2710      59.2113      59.2123      10.6546      10.6550       1.8000       1.8000      30.0000      30.0000       0.6659       0.6659       0.0008
2030   23.0758      23.0753      56.6985      56.6995      10.6529      10.6534       1.8000       1.8000      30.0000      30.0000       0.6561       0.6561       0.0008
2031   23.9533      23.9527      54.2125      54.2135      10.6494      10.6499       1.8000       1.8000      30.0000      30.0000       0.6452       0.6452       0.0008
2032   24.8926      24.8919      51.7787      51.7797      10.6431      10.6436       1.8000       1.8000      30.0000      30.0000       0.6335       0.6336       0.0009
2033   25.8768      25.8760      49.4014      49.4024      10.6355      10.6360       1.8000       1.8000      30.0000      30.0000       0.6213       0.6213       0.0009
