POPULATION (IN THOUSANDS):
ALTER          USA              EU           JAPAN            CHINA            INDIA          RUSSIA
NET MIGRATION (IN HUNDREDS):
ALTER          USA              EU           JAPAN            CHINA            INDIA           RUSSIA
 1      145.840000       44.758800        5.371056       -38.790960       -27.849920        13.975620
 2      127.220000       31.054320        3.726518       -26.913744       -19.322688        14.056680
 3      111.310000       10.579860        1.269583        -9.169212        -6.583024        14.146329
 4      103.370000        7.619670        0.914360        -6.603714        -4.741128        14.260948
 5      122.460000       14.965290        1.795835       -12.969918        -9.311736        14.423800
 6      117.820000        3.590550        0.430866        -3.111810        -2.234120        14.663889
 7      128.490000        1.781595        0.213791        -1.544049        -1.108548        15.014328
 8      133.020000       29.026080        3.483130       -25.155936       -18.060672        15.509944
 9      138.280000       34.206345        4.104761       -29.645499       -21.283948        16.215943
10      166.030000       41.634180        4.996102       -36.082956       -25.905712        17.222956
11      175.450000       51.912540        6.229505       -44.990868       -32.301136        18.639976
12      192.630000       59.148495        7.097819       -51.262029       -36.803508        20.584293
13      208.670000       71.153595        8.538431       -61.666449       -44.273348        23.167319
14      229.250000       73.428570        8.811428       -63.638094       -45.688888        26.475148
15      243.380000       91.354005       10.962481       -79.173471       -56.842492        30.542725
16      267.110000      121.914990       14.629799      -105.659658       -75.858216        35.320764
17      302.670000      136.825425       16.419051      -118.582035       -85.135820        40.782956
18      356.770000      180.350820       21.642098      -156.304044      -112.218288        46.878184
19      346.150000      290.342925       34.841151      -251.630535      -180.657820        53.475902
20      358.960000      367.992450       44.159094      -318.926790      -228.973080        60.305185
21      203.770000      318.245220       38.189426      -275.812524      -198.019248        67.054627
22      224.820000      349.409205       41.929105      -302.821311      -217.410172        73.304046
23      240.410000      330.277725       39.633327      -286.240695      -205.506140        83.407350
24      290.850000      298.949310       35.873917      -259.089402      -186.012904        87.026140
25      318.420000      239.005980       28.680718      -207.138516      -148.714832        89.573691
26      323.950000      175.855770       21.102692      -152.408334      -109.421368        90.934353
27      299.570000      146.089665       17.530760      -126.611043       -90.900236        91.095035
28      279.910000      115.501275       13.860153      -100.101105       -71.867460        90.131616
29      260.940000       90.476910       10.857229       -78.413322       -56.296744        88.207333
30      253.270000       62.711640        7.525397       -54.350088       -39.020576        85.582416
31      249.620000       39.167370        4.700084       -33.945054       -24.370808        82.633330
32      218.760000       21.351555        2.562187       -18.504681       -13.285412        79.588014
33      207.160000       15.376410        1.845169       -13.326222        -9.567544        76.555370
34      190.300000       15.513480        1.861618       -13.445016        -9.652832        73.555718
35      171.080000       13.485195        1.618223       -11.687169        -8.390788        70.551122
36      163.280000       19.624815        2.354978       -17.008173       -12.210996        67.475388
37      146.750000       18.007695        2.160923       -15.606669       -11.204788        64.264106
38      135.280000       24.010245        2.881229       -20.808879       -14.939708        60.885409
39      123.030000       29.656485        3.558778       -25.702287       -18.452924        57.372091
40      121.600000       33.685605        4.042273       -29.194191       -20.959932        53.855384
41      109.670000       37.687275        4.522473       -32.662305       -23.449860        50.600101
42      110.920000       35.138250        4.216590       -30.453150       -21.863800        47.742548
43       98.280000       39.688155        4.762579       -34.396401       -24.694852        45.323082
44       82.830000       29.766105        3.571933       -25.797291       -18.521132        43.314684
45       90.390000       36.070155        4.328419       -31.260801       -22.443652        41.647154
46       80.180000       34.919010        4.190281       -30.263142       -21.727384        40.227195
47       82.660000       29.519415        3.542330       -25.583493       -18.367636        38.955090
48       71.820000       32.534415        3.904130       -28.196493       -20.243636        37.738898
49       67.220000       33.411510        4.009381       -28.956642       -20.789384        36.507178
50       67.150000       29.163105        3.499573       -25.274691       -18.145932        35.221151
51       54.840000       19.652220        2.358266       -17.031924       -12.228048        33.887015
52       51.610000       16.116480        1.933978       -13.967616       -10.028032        32.491628
53       52.050000       13.704480        1.644538       -11.877216        -8.527232        31.015846
54       53.410000        4.440240        0.532829        -3.848208        -2.762816        29.448482
55       53.220000        5.496750        0.659610        -4.763850        -3.420200        27.801058
56       51.690000        0.946845        0.113621        -0.820599        -0.589148        26.123485
57       51.780000        4.701870        0.564224        -4.074954        -2.925608        24.443766
58       51.860000        8.073180        0.968782        -6.996756        -5.023312        22.784779
59       50.910000       20.324970        2.438996       -17.614974       -12.646648        21.181068
60       51.020000        0.316440        0.037973        -0.274248        -0.196896        19.695439
61       45.650000        6.346395        0.761567        -5.500209        -3.948868        18.434990
62       48.490000       12.157110        1.458853       -10.536162        -7.564424        17.452775
63       44.040000       15.446205        1.853545       -13.386711        -9.610972        16.760403
64       42.250000        8.593965        1.031276        -7.448103        -5.347356        16.337863
65       38.410000        5.743440        0.689213        -4.977648        -3.573696       114.713100
 
FERTILITÄTSRATEN:
 
USA
JAHR      23      24      25      26      27      28      29      30
-48  .175516 .169201 .149787 .122750 .094602 .072685 .063358 .059713
-47  .175726 .169375 .149864 .122725 .094505 .072552 .063245 .059644
-46  .175936 .169549 .149941 .122700 .094408 .072419 .063131 .059575
-45  .176146 .169723 .150017 .122675 .094312 .072287 .063018 .059506
-44  .176356 .169897 .150094 .122651 .094215 .072154 .062905 .059436
-43  .176567 .170071 .150171 .122626 .094118 .072022 .062791 .059367
-42  .176777 .170245 .150247 .122601 .094022 .071889 .062678 .059298
-41  .176987 .170418 .150324 .122576 .093925 .071756 .062564 .059229
-40  .177197 .170592 .150401 .122552 .093829 .071624 .062451 .059160
-39  .177407 .170766 .150477 .122527 .093732 .071491 .062338 .059091
-38  .177618 .170940 .150554 .122502 .093635 .071359 .062224 .059022
-37  .177828 .171114 .150631 .122477 .093539 .071226 .062111 .058953
-36  .178038 .171288 .150707 .122452 .093442 .071093 .061997 .058884
-35  .178248 .171462 .150784 .122428 .093345 .070961 .061884 .058815
-34  .178458 .171636 .150861 .122403 .093249 .070828 .061771 .058746
-33  .178669 .171810 .150937 .122378 .093152 .070695 .061657 .058677
-32  .178879 .171984 .151014 .122353 .093055 .070563 .061544 .058608
-31  .179089 .172157 .151091 .122329 .092959 .070430 .061430 .058539
-30  .179299 .172331 .151167 .122304 .092862 .070298 .061317 .058470
-29  .179509 .172505 .151244 .122279 .092765 .070165 .061204 .058401
-28  .179720 .172679 .151321 .122254 .092669 .070032 .061090 .058332
-27  .179930 .172853 .151397 .122230 .092572 .069900 .060977 .058263
-26  .180140 .173027 .151474 .122205 .092476 .069767 .060863 .058194
-25  .180350 .173201 .151551 .122180 .092379 .069634 .060750 .058125
-24  .180560 .173375 .151627 .122155 .092282 .069502 .060637 .058056
-23  .180771 .173549 .151704 .122131 .092186 .069369 .060523 .057987
-22  .180981 .173723 .151781 .122106 .092089 .069237 .060410 .057918
-21  .181191 .173896 .151857 .122081 .091992 .069104 .060296 .057849
-20  .181401 .174070 .151934 .122056 .091896 .068971 .060183 .057779
-19  .181612 .174244 .152011 .122031 .091799 .068839 .060070 .057710
-18  .181822 .174418 .152087 .122007 .091702 .068706 .059956 .057641
-17  .182032 .174592 .152164 .121982 .091606 .068573 .059843 .057572
-16  .182242 .174766 .152241 .121957 .091509 .068441 .059729 .057503
-15  .182452 .174940 .152317 .121932 .091412 .068308 .059616 .057434
-14  .182663 .175114 .152394 .121908 .091316 .068176 .059503 .057365
-13  .182873 .175288 .152471 .121883 .091219 .068043 .059389 .057296
-12  .183083 .175462 .152547 .121858 .091123 .067910 .059276 .057227
-11  .183293 .175636 .152624 .121833 .091026 .067778 .059162 .057158
-10  .183503 .175809 .152701 .121809 .090929 .067645 .059049 .057089
 -9  .183714 .175983 .152778 .121784 .090833 .067512 .058936 .057020
 -8  .183924 .176157 .152854 .121759 .090736 .067380 .058822 .056951
 -7  .184134 .176331 .152931 .121734 .090639 .067247 .058709 .056882
 -6  .184344 .176505 .153008 .121710 .090543 .067115 .058595 .056813
 -5  .184554 .176679 .153084 .121685 .090446 .066982 .058482 .056744
 -4  .184765 .176853 .153161 .121660 .090349 .066849 .058369 .056675
 -3  .184975 .177027 .153238 .121635 .090253 .066717 .058255 .056606
 -2  .185185 .177201 .153314 .121611 .090156 .066584 .058142 .056537
 -1  .185395 .177375 .153391 .121586 .090059 .066451 .058028 .056468
  0  .185605 .177548 .153468 .121561 .089963 .066319 .057915 .056399
  1  .185066 .177024 .152989 .121143 .089605 .066006 .057619 .056105
  2  .184526 .176499 .152510 .120725 .089248 .065694 .057322 .055812
  3  .183986 .175975 .152032 .120308 .088890 .065382 .057026 .055518
  4  .183446 .175450 .151553 .119890 .088533 .065069 .056729 .055225
  5  .182906 .174926 .151075 .119472 .088175 .064757 .056433 .054931
  6  .182366 .174401 .150596 .119054 .087818 .064444 .056136 .054637
  7  .181826 .173877 .150117 .118637 .087460 .064132 .055840 .054344
  8  .181286 .173352 .149639 .118219 .087103 .063819 .055544 .054050
  9  .180746 .172828 .149160 .117801 .086745 .063507 .055247 .053757
 10  .180207 .172303 .148682 .117383 .086388 .063194 .054951 .053463
 11  .179667 .171779 .148203 .116966 .086030 .062882 .054654 .053170
 12  .179127 .171254 .147724 .116548 .085673 .062570 .054358 .052876
 13  .178587 .170730 .147246 .116130 .085315 .062257 .054061 .052583
 14  .178047 .170205 .146767 .115712 .084958 .061945 .053765 .052289
 15  .177507 .169681 .146288 .115294 .084600 .061632 .053469 .051996
 16  .176967 .169156 .145810 .114877 .084242 .061320 .053172 .051702
 17  .176427 .168632 .145331 .114459 .083885 .061007 .052876 .051409
 18  .175888 .168107 .144853 .114041 .083527 .060695 .052579 .051115
 19  .175348 .167583 .144374 .113623 .083170 .060382 .052283 .050822
 20  .174808 .167058 .143895 .113206 .082812 .060070 .051987 .050528
 21  .174268 .166534 .143417 .112788 .082455 .059758 .051690 .050235
 22  .173728 .166009 .142938 .112370 .082097 .059445 .051394 .049941
 23  .173188 .165485 .142460 .111952 .081740 .059133 .051097 .049647
 24  .172648 .164960 .141981 .111535 .081382 .058820 .050801 .049354
 25  .172108 .164436 .141502 .111117 .081025 .058508 .050504 .049060
 26  .171569 .163911 .141024 .110699 .080667 .058195 .050208 .048767
 27  .171029 .163387 .140545 .110281 .080310 .057883 .049912 .048473
 28  .170489 .162862 .140067 .109863 .079952 .057570 .049615 .048180
 29  .169949 .162337 .139588 .109446 .079595 .057258 .049319 .047886
 30  .169409 .161813 .139109 .109028 .079237 .056946 .049022 .047593
 31  .168869 .161288 .138631 .108610 .078880 .056633 .048726 .047299
 32  .168329 .160764 .138152 .108192 .078522 .056321 .048429 .047006
 33  .167789 .160239 .137674 .107775 .078165 .056008 .048133 .046712
 34  .167250 .159715 .137195 .107357 .077807 .055696 .047837 .046419
 35  .166710 .159190 .136716 .106939 .077449 .055383 .047540 .046125
 36  .166170 .158666 .136238 .106521 .077092 .055071 .047244 .045832
 37  .165630 .158141 .135759 .106104 .076734 .054758 .046947 .045538
 38  .165090 .157617 .135281 .105686 .076377 .054446 .046651 .045244
 39  .164550 .157092 .134802 .105268 .076019 .054134 .046355 .044951
 40  .164010 .156568 .134323 .104850 .075662 .053821 .046058 .044657
 41  .163470 .156043 .133845 .104432 .075304 .053509 .045762 .044364
 42  .162931 .155519 .133366 .104015 .074947 .053196 .045465 .044070
 43  .162391 .154994 .132888 .103597 .074589 .052884 .045169 .043777
 44  .161851 .154470 .132409 .103179 .074232 .052571 .044872 .043483
 45  .161311 .153945 .131930 .102761 .073874 .052259 .044576 .043190
 46  .160771 .153421 .131452 .102344 .073517 .051946 .044280 .042896
 47  .160231 .152896 .130973 .101926 .073159 .051634 .043983 .042603
 48  .159691 .152372 .130495 .101508 .072802 .051322 .043687 .042309
 49  .159151 .151847 .130016 .101090 .072444 .051009 .043390 .042016
 50  .158612 .151323 .129537 .100673 .072087 .050697 .043094 .041722
 
JAHR      31      32      33      34      35      36      37      38
-48  .029807 .024045 .019146 .014757 .010892 .007103 .023372 .019743
-47  .029759 .024011 .019093 .014679 .010792 .006971 .023256 .019612
-46  .029712 .023978 .019039 .014601 .010691 .006838 .023141 .019481
-45  .029664 .023944 .018986 .014523 .010591 .006706 .023026 .019350
-44  .029616 .023910 .018932 .014446 .010491 .006573 .022910 .019220
-43  .029569 .023877 .018878 .014368 .010391 .006441 .022795 .019089
-42  .029521 .023843 .018825 .014290 .010291 .006308 .022680 .018958
-41  .029473 .023810 .018771 .014212 .010191 .006176 .022564 .018827
-40  .029426 .023776 .018717 .014134 .010091 .006043 .022449 .018697
-39  .029378 .023742 .018664 .014056 .009991 .005911 .022334 .018566
-38  .029331 .023709 .018610 .013979 .009891 .005778 .022218 .018435
-37  .029283 .023675 .018557 .013901 .009791 .005645 .022103 .018305
-36  .029235 .023642 .018503 .013823 .009690 .005513 .021988 .018174
-35  .029188 .023608 .018449 .013745 .009590 .005380 .021872 .018043
-34  .029140 .023574 .018396 .013667 .009490 .005248 .021757 .017912
-33  .029092 .023541 .018342 .013589 .009390 .005115 .021642 .017782
-32  .029045 .023507 .018288 .013512 .009290 .004983 .021526 .017651
-31  .028997 .023474 .018235 .013434 .009190 .004850 .021411 .017520
-30  .028949 .023440 .018181 .013356 .009090 .004718 .021296 .017389
-29  .028902 .023406 .018128 .013278 .008990 .004585 .021180 .017259
-28  .028854 .023373 .018074 .013200 .008890 .004452 .021065 .017128
-27  .028807 .023339 .018020 .013122 .008789 .004320 .020950 .016997
-26  .028759 .023306 .017967 .013045 .008689 .004187 .020834 .016866
-25  .028711 .023272 .017913 .012967 .008589 .004055 .020719 .016736
-24  .028664 .023238 .017859 .012889 .008489 .003922 .020604 .016605
-23  .028616 .023205 .017806 .012811 .008389 .003790 .020488 .016474
-22  .028568 .023171 .017752 .012733 .008289 .003657 .020373 .016343
-21  .028521 .023138 .017698 .012655 .008189 .003525 .020258 .016213
-20  .028473 .023104 .017645 .012578 .008089 .003392 .020142 .016082
-19  .028425 .023070 .017591 .012500 .007989 .003259 .020027 .015951
-18  .028378 .023037 .017538 .012422 .007889 .003127 .019912 .015820
-17  .028330 .023003 .017484 .012344 .007788 .002994 .019796 .015690
-16  .028283 .022970 .017430 .012266 .007688 .002862 .019681 .015559
-15  .028235 .022936 .017377 .012188 .007588 .002729 .019566 .015428
-14  .028187 .022902 .017323 .012111 .007488 .002597 .019450 .015297
-13  .028140 .022869 .017269 .012033 .007388 .002464 .019335 .015167
-12  .028092 .022835 .017216 .011955 .007288 .002332 .019220 .015036
-11  .028044 .022801 .017162 .011877 .007188 .002199 .019104 .014905
-10  .027997 .022768 .017109 .011799 .007088 .002067 .018989 .014774
 -9  .027949 .022734 .017055 .011722 .006988 .001934 .018874 .014644
 -8  .027901 .022701 .017001 .011644 .006887 .001801 .018758 .014513
 -7  .027854 .022667 .016948 .011566 .006787 .001669 .018643 .014382
 -6  .027806 .022633 .016894 .011488 .006687 .001536 .018528 .014251
 -5  .027759 .022600 .016840 .011410 .006587 .001404 .018412 .014121
 -4  .027711 .022566 .016787 .011332 .006487 .001271 .018297 .013990
 -3  .027663 .022533 .016733 .011255 .006387 .001139 .018182 .013859
 -2  .027616 .022499 .016679 .011177 .006287 .001006 .018066 .013728
 -1  .027568 .022465 .016626 .011099 .006187 .000874 .017951 .013598
  0  .027520 .022432 .016572 .011021 .006087 .000741 .017836 .013467
  1  .027282 .022203 .016355 .010814 .006075 .000926 .017988 .013627
  2  .027043 .021974 .016137 .010607 .006063 .001110 .018140 .013787
  3  .026805 .021746 .015919 .010400 .006052 .001295 .018292 .013948
  4  .026567 .021517 .015702 .010193 .006040 .001479 .018444 .014108
  5  .026328 .021288 .015484 .009986 .006029 .001664 .018596 .014268
  6  .026090 .021059 .015267 .009779 .006017 .001849 .018748 .014429
  7  .025851 .020830 .015049 .009572 .006005 .002033 .018900 .014589
  8  .025613 .020602 .014831 .009365 .005994 .002218 .019052 .014749
  9  .025374 .020373 .014614 .009158 .005982 .002402 .019204 .014910
 10  .025136 .020144 .014396 .008951 .005971 .002587 .019356 .015070
 11  .024897 .019915 .014179 .008744 .005959 .002771 .019508 .015230
 12  .024659 .019687 .013961 .008537 .005947 .002956 .019660 .015391
 13  .024420 .019458 .013743 .008330 .005936 .003141 .019812 .015551
 14  .024182 .019229 .013526 .008123 .005924 .003325 .019964 .015711
 15  .023943 .019000 .013308 .007916 .005913 .003510 .020116 .015872
 16  .023705 .018772 .013091 .007709 .005901 .003694 .020268 .016032
 17  .023466 .018543 .012873 .007502 .005889 .003879 .020420 .016192
 18  .023228 .018314 .012655 .007295 .005878 .004064 .020572 .016353
 19  .022989 .018085 .012438 .007088 .005866 .004248 .020724 .016513
 20  .022751 .017856 .012220 .006881 .005855 .004433 .020876 .016673
 21  .022513 .017628 .012003 .006674 .005843 .004617 .021028 .016834
 22  .022274 .017399 .011785 .006467 .005831 .004802 .021180 .016994
 23  .022036 .017170 .011567 .006260 .005820 .004987 .021332 .017154
 24  .021797 .016941 .011350 .006053 .005808 .005171 .021484 .017315
 25  .021559 .016713 .011132 .005846 .005796 .005356 .021636 .017475
 26  .021320 .016484 .010915 .005639 .005785 .005540 .021788 .017635
 27  .021082 .016255 .010697 .005432 .005773 .005725 .021940 .017796
 28  .020843 .016026 .010480 .005225 .005762 .005909 .022092 .017956
 29  .020605 .015798 .010262 .005018 .005750 .006094 .022244 .018116
 30  .020366 .015569 .010044 .004811 .005738 .006279 .022396 .018277
 31  .020128 .015340 .009827 .004604 .005727 .006463 .022548 .018437
 32  .019889 .015111 .009609 .004397 .005715 .006648 .022700 .018597
 33  .019651 .014882 .009392 .004190 .005704 .006832 .022852 .018757
 34  .019412 .014654 .009174 .003983 .005692 .007017 .023004 .018918
 35  .019174 .014425 .008956 .003776 .005680 .007202 .023156 .019078
 36  .018935 .014196 .008739 .003569 .005669 .007386 .023308 .019238
 37  .018697 .013967 .008521 .003362 .005657 .007571 .023460 .019399
 38  .018459 .013739 .008304 .003155 .005646 .007755 .023612 .019559
 39  .018220 .013510 .008086 .002948 .005634 .007940 .023764 .019719
 40  .017982 .013281 .007868 .002741 .005622 .008125 .023916 .019880
 41  .017743 .013052 .007651 .002533 .005611 .008309 .024068 .020040
 42  .017505 .012824 .007433 .002326 .005599 .008494 .024220 .020200
 43  .017266 .012595 .007216 .002119 .005588 .008678 .024372 .020361
 44  .017028 .012366 .006998 .001912 .005576 .008863 .024524 .020521
 45  .016789 .012137 .006780 .001705 .005564 .009047 .024676 .020681
 46  .016551 .011908 .006563 .001498 .005553 .009232 .024828 .020842
 47  .016312 .011680 .006345 .001291 .005541 .009417 .024980 .021002
 48  .016074 .011451 .006128 .001084 .005530 .009601 .025132 .021162
 49  .015835 .011222 .005910 .000877 .005518 .009786 .025284 .021323
 50  .015597 .010993 .005692 .000670 .005506 .009970 .025435 .021483
 
JAHR      39      40      41      42      43      44      45
-48  .016186 .012788 .009422 .006589 .004235 .002498 .001434
-47  .016060 .012672 .009325 .006514 .004182 .002465 .001414
-46  .015933 .012555 .009228 .006439 .004130 .002433 .001394
-45  .015807 .012439 .009132 .006364 .004077 .002400 .001373
-44  .015681 .012322 .009035 .006289 .004024 .002367 .001353
-43  .015555 .012206 .008938 .006214 .003971 .002334 .001333
-42  .015428 .012089 .008841 .006138 .003918 .002301 .001313
-41  .015302 .011973 .008745 .006063 .003865 .002269 .001292
-40  .015176 .011856 .008648 .005988 .003812 .002236 .001272
-39  .015050 .011740 .008551 .005913 .003759 .002203 .001252
-38  .014923 .011623 .008455 .005838 .003706 .002170 .001232
-37  .014797 .011507 .008358 .005763 .003653 .002138 .001211
-36  .014671 .011390 .008261 .005687 .003601 .002105 .001191
-35  .014545 .011274 .008165 .005612 .003548 .002072 .001171
-34  .014418 .011157 .008068 .005537 .003495 .002039 .001151
-33  .014292 .011041 .007971 .005462 .003442 .002007 .001130
-32  .014166 .010924 .007874 .005387 .003389 .001974 .001110
-31  .014040 .010808 .007778 .005312 .003336 .001941 .001090
-30  .013913 .010691 .007681 .005236 .003283 .001908 .001070
-29  .013787 .010575 .007584 .005161 .003230 .001875 .001050
-28  .013661 .010458 .007488 .005086 .003177 .001843 .001029
-27  .013535 .010342 .007391 .005011 .003124 .001810 .001009
-26  .013408 .010225 .007294 .004936 .003072 .001777 .000989
-25  .013282 .010109 .007198 .004861 .003019 .001744 .000969
-24  .013156 .009992 .007101 .004785 .002966 .001712 .000948
-23  .013030 .009876 .007004 .004710 .002913 .001679 .000928
-22  .012903 .009759 .006908 .004635 .002860 .001646 .000908
-21  .012777 .009643 .006811 .004560 .002807 .001613 .000888
-20  .012651 .009526 .006714 .004485 .002754 .001581 .000867
-19  .012525 .009410 .006617 .004409 .002701 .001548 .000847
-18  .012398 .009293 .006521 .004334 .002648 .001515 .000827
-17  .012272 .009177 .006424 .004259 .002595 .001482 .000807
-16  .012146 .009060 .006327 .004184 .002543 .001449 .000786
-15  .012020 .008944 .006231 .004109 .002490 .001417 .000766
-14  .011893 .008827 .006134 .004034 .002437 .001384 .000746
-13  .011767 .008711 .006037 .003958 .002384 .001351 .000726
-12  .011641 .008594 .005941 .003883 .002331 .001318 .000705
-11  .011515 .008478 .005844 .003808 .002278 .001286 .000685
