POPULATION (IN THOUSANDS):
ALTER          USA              EU           JAPAN            CHINA            INDIA          RUSSIA
 0     3846.930453     4055.635963     1365.967042     18227.349287     28239.174629     1761.629000
 1     3839.377738     4037.389591     1157.669199     19104.248107     25443.170741     1747.519000
 2     3838.394476     4048.854480     1166.854384     19104.248107     25399.010247     1702.025000
 3     3852.197739     4058.371146     1176.307059     19260.448107     25310.689260     1597.009000
 4     3879.052789     4074.261369     1185.377018     19572.848107     25178.207778     1467.413000
 5     3915.574251     4113.452369     1193.582779     20041.448107     25020.898313     1444.529000
 6     3959.250536     4180.753480     1201.167142     20353.848107     24852.597902     1488.725000
 7     4012.396154     4267.401258     1209.784425     20510.048107     24656.820124     1463.343000
 8     4067.336655     4341.552258     1221.665084     20845.336996     24397.746050     1378.021000
 9     4108.161291     4395.111924     1238.936689     21515.914774     24060.655515     1285.023000
10     4113.775243     4414.472369     1262.195948     22521.781441     23684.794610     1276.758000
11     4084.304470     4420.990924     1290.965495     23192.359219     23324.605309     1255.918000
12     4038.009790     4413.674146     1324.187718     23527.648107     22996.234939     1307.626000
13     4001.207862     4411.450591     1361.265907     23153.025885     22661.864568     1279.377000
14     3984.512787     4413.380258     1401.051915     22403.781441     22285.675268     1332.208000
15     3926.155270     4441.678813     1440.755619     21279.914774     21884.307367     1398.384000
16     3944.979850     4496.803258     1476.150681     20530.670330     21501.681852     1455.061000
17     3974.088393     4580.910035     1504.430516     20156.048107     21148.002840     1450.829000
18     3995.640418     4653.877480     1526.665084     20098.692552     20781.015186     1676.347000
19     3987.249961     4703.862035     1547.772080     19983.981441     20362.899959     1840.966000
20     3927.580294     4720.164258     1573.183602     19811.914774     19915.281029     2074.805000
21     3822.294529     4737.856369     1606.833808     19697.203663     19489.721358     2226.007000
22     3697.068245     4774.929369     1650.043685     19639.848107     19100.400371     2402.440000
23     3585.928356     4850.594035     1702.829693     20145.425885     18702.054692     2562.733000
24     3506.723307     4958.843146     1762.282368     21156.581441     18252.429177     2579.776000
25     3470.825368     5099.707924     1821.932574     22673.314774     17774.392140     2489.976000
26     3484.000270     5263.387480     1871.167142     23684.470330     17327.523828     2559.151000
27     3556.530060     5437.300369     1900.097183     24190.048107     16937.449754     2606.290000
28     3668.525245     5599.295035     1904.097183     24311.936996     16564.671976     2474.401000
29     3782.953319     5730.208702     1885.488129     24555.714774     16163.927120     2299.840000
30     3855.596220     5837.002813     1850.113644     24921.381441     15745.270330     2327.204000
31     3889.360406     5928.461702     1802.488129     25165.159219     15356.163334     2198.475000
32     3919.193196     6015.749146     1748.628047     25287.048107     15018.299136     2184.723000
33     3987.106640     6096.966702     1695.842039     24802.959219     14698.052223     2151.849000
34     4095.335492     6146.286480     1654.911997     23834.781441     14355.924651     2148.191000
35     4220.275455     6145.955924     1628.648623     22382.514774     13998.467037     2112.145000
36     4332.927714     6081.485369     1614.241216     21414.336996     13662.948519     2064.534000
37     4429.845899     5980.411258     1602.578664     20930.248107     13362.528766     1978.177000
38     4508.356924     5868.503258     1590.607471     20468.470330     13064.318889     2076.790000
39     4565.746973     5750.703369     1578.175372     19544.914774     12734.693375     1958.346000
40     4584.106097     5632.073146     1568.549858     18159.581441     12386.010247     1975.618000
41     4563.726381     5509.510480     1563.606568     17236.025885     12057.553457     1821.841000
42     4511.909245     5400.985813     1566.852177     16774.248107     11762.849754     1792.896000
43     4441.344368     5301.621146     1582.421688     16815.914774     11469.442346     1793.882000
44     4349.301776     5210.481369     1613.918835     16899.248107     11144.442346     1854.726000
45     4234.136998     5131.677035     1662.564640     17024.248107     10795.950165     1890.890000
46     4102.286739     5064.561924     1729.180843     17107.581441     10449.563334     1980.680000
47     3975.368628     5032.627480     1815.036238     17149.248107     10091.995433     2130.165000
48     3864.763023     5022.384369     1919.975649     16628.914774      9668.970741     2275.896000
49     3775.287726     5042.196813     2032.909743     15588.248107      9148.032470     2322.530000
50     3690.045628     5054.737258     2127.781707     14027.248107      8582.466526     2456.764000
51     3596.602435     5038.185924     2166.870876     12986.581441      8066.699672     2319.478000
52     3466.882828     4904.919702     2127.552636     12466.248107      7659.266713     2286.441000
53     3303.671352     4694.654480     2021.485426     12121.571340      7333.114712     2259.931000
54     3119.809293     4450.084035     1898.875006     11433.407703      7034.355340     2161.014000
55     2962.462098     4308.531813     1811.198742     10402.947097      6743.420922     2114.280000
56     2837.373444     4225.545591     1778.551285      9720.732956      6481.494772     2121.991000
57     2737.703748     4205.161702     1778.200124      9385.575380      6262.820772     1893.525000
58     2630.723909     4212.176591     1773.211103      9278.528916      6067.089721     1964.004000
59     2522.536273     4243.158035     1743.831135      9053.726895      5866.603027     1826.613000
60     2422.481365     4239.391924     1697.000096      8711.169320      5659.059032     1789.383000
61     2347.706716     4168.973258     1652.834807      8486.367299      5460.082488     1809.201000
62     2291.300792     4064.432035     1621.624218      8379.320835      5268.313714     1472.484000
63     2241.540170     3971.145629     1598.986197      8247.563259      5056.143830     1440.057000
64     2178.133145     3878.384854     1572.033059      7959.060229      4801.843194     1274.604000
65     2095.122678     3779.413193     1534.932649      7512.621845      4522.096019      761.548000
66     2000.538916     3674.639497     1490.592966      7191.991542      4253.346112      574.783000
67     1920.344761     3616.008950     1445.582641      7024.536996      4010.224975      515.703000
68     1868.398883     3578.565847     1401.476604      6789.581441      3769.750863      798.237000
69     1842.800430     3545.797078     1355.656154      6345.848107      3506.665080     1193.226000
70     1823.386159     3463.045087     1305.488129      5680.248107      3231.149479     1259.542000
71     1795.209220     3363.152651     1251.121874      5236.514774      2974.795433     1362.210000
72     1752.729554     3249.871770     1193.422286      5014.648107      2751.030000     1337.102000
73     1700.152541     3145.189334     1131.628047      4807.736996      2536.832470     1303.225000
74     1644.053554     3033.436787     1063.973726      4393.914774      2306.276914     1033.041000
75     1588.034998     2917.153907      990.553973      3773.181441      2065.837408      870.159000
76     1532.317233     2806.594693      914.459323      3359.359219      1844.504075      665.068000
77     1471.628986     2704.581146      840.323520      3152.448107      1657.973210      606.261000
78     1398.376973     2547.245377      770.479899      2975.825885      1489.541112      725.535000
79     1307.486294     2286.572164      704.961380      2622.581441      1316.471153      654.073000
80     1201.905961     1924.665172      642.331751      2092.714774      1139.399548      716.362000
81     1092.082554     1598.232070      583.632162      1739.470330       978.333704      615.968000
82      987.319899     1398.794634      530.348211      1562.848107       845.913951      598.076000
83      890.619640     1340.190309      483.570434      1449.936996       731.407778      502.597000
84      799.068603     1336.931095      440.903767      1224.114774       618.111482      427.731000
85      710.441764     1314.120215      399.302944       885.381441       504.415186      334.196000
86      625.117813     1234.325668      356.348211       659.559219       402.518889      273.614000
87      544.955578     1113.052343      312.175372       546.648107       320.444815      205.009000
88      470.655751      924.594463      267.874960       502.092552       248.469507      148.493000
89      401.319603      648.211027      224.455207       368.425885       171.440700      102.590000
90      334.787850      281.306258      181.837923       145.648107        84.434939       79.329000
 
