CHINA
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BASELINE PATH
 
Macroeconomic variables:                                                        Prices:                      Tax rates:                                                      Tax revenues:(/Y)                                 Government indicators:
------------------------------------------------------------------------------------    -------------------------    ------------------------------------------------------------    ----------------------------------------------    ------------------------------------------------------------
YEAR   K   L   L1   L2   YY   GDP   C/GDP   CA/GDP   TB/GDP   TRF/GDP   I/GDP   BEQ/GDP   YEAR   RG   W1   W2   YEAR   OAS   HI   DI   CONS   WAGE   CAP   INH   CORP   YEAR   CONS/GDP   WAGE/GDP   CAP/GDP   INH/GDP   CORP/GDP   OIL/GDP   SUM/GDP PENS/GDP SUM2/GDP     YEAR  PB/GDP   HB/GDP   DB/GDP   EDU/GDP OTH/GDP   INT/GDP B/GDP     DEF/GDP  TOT/GDP  WEALTH_SH  
2008   0.603    0.609    0.658    0.496    0.589    0.585   29.157    7.849   16.406   -0.448  21.055   0.906     2008  4.919   0.904   1.748     2008  4.330   2.640   0.000  74.597   6.986   3.000   0.000  30.000     2008 21.751    4.455    0.127    0.000    4.981    0.773   32.087    2.761   34.848      2008  2.761    1.683    0.000    3.874   27.842    1.013   20.594    0.642   37.173    0.044
2009   0.611    0.635    0.686    0.516    0.608    0.603   29.565    4.806   13.012   -0.510  24.346   0.844     2009  5.108   0.894   1.732     2009  4.406   2.749   0.000  71.432   6.783   3.000   0.000  30.000     2009 21.119    4.326    0.146    0.000    5.079    0.767   31.437    2.809   34.246      2009  2.809    1.753    0.000    3.735   27.627    1.052   20.597    0.977   36.976    0.050
2010   0.628    0.672    0.726    0.545    0.636    0.632   29.800    2.710   10.578   -0.569  26.801   0.781     2010  5.305   0.884   1.717     2010  4.438   2.872   0.000  69.152   6.616   3.000   0.000  30.000     2010 20.607    4.221    0.164    0.000    5.179    0.751   30.922    2.830   33.751      2010  2.830    1.831    0.000    3.607   27.451    1.093   20.605    1.230   36.812    0.056
2011   0.653    0.719    0.778    0.582    0.674    0.669   29.973    1.252    8.780   -0.625  28.615   0.718     2011  5.500   0.874   1.704     2011  4.472   3.023   0.000  67.451   6.488   3.000   0.000  30.000     2011 20.217    4.141    0.182    0.000    5.276    0.724   30.540    2.838   33.379      2011  2.838    1.918    0.000    3.496   27.325    1.134   20.619    1.415   36.712    0.063
2012   0.686    0.776    0.841    0.626    0.721    0.714   30.147    0.073    7.256   -0.677  30.082   0.658     2012  5.686   0.865   1.692     2012  4.493   3.195   0.000  66.083   6.389   3.000   0.000  30.000     2012 19.922    4.080    0.199    0.000    5.367    0.687   30.256    2.832   33.088      2012  2.832    2.014    0.000    3.401   27.254    1.174   20.639    1.573   36.675    0.071
2013   0.727    0.843    0.914    0.678    0.776    0.768   30.344   -0.789    6.050   -0.727  31.157   0.601     2013  5.862   0.856   1.682     2013  4.485   3.386   0.000  64.907   6.310   3.000   0.000  30.000     2013 19.695    4.034    0.216    0.000    5.452    0.642   30.039    2.804   32.843      2013  2.804    2.117    0.000    3.318   27.219    1.211   20.663    1.710   36.669    0.080
2014   0.775    0.921    1.000    0.738    0.840    0.830   30.565   -1.250    5.255   -0.772  31.768   0.550     2014  6.034   0.848   1.673     2014  4.432   3.594   0.000  63.872   6.249   3.000   0.000  30.000     2014 19.522    3.999    0.233    0.000    5.534    0.593   29.880    2.747   32.627      2014  2.747    2.228    0.000    3.245   27.199    1.248   20.688    1.812   36.667    0.089
2015   0.830    1.011    1.099    0.807    0.913    0.902   30.815   -1.228    4.952   -0.813  31.837   0.503     2015  6.207   0.839   1.665     2015  4.338   3.818   0.000  62.971   6.205   3.000   0.000  30.000     2015 19.405    3.974    0.249    0.000    5.613    0.547   29.787    2.668   32.455      2015  2.668    2.348    0.000    3.182   27.182    1.286   20.713    1.862   36.665    0.099
2016   0.891    1.112    1.210    0.884    0.996    0.982   31.108   -0.903    4.949   -0.851  31.535   0.458     2016  6.379   0.831   1.657     2016  4.215   4.054   0.000  62.146   6.177   3.000   0.000  30.000     2016 19.332    3.960    0.265    0.000    5.690    0.503   29.749    2.575   32.324      2016  2.575    2.476    0.000    3.132   27.171    1.323   20.736    1.876   36.677    0.110
2017   0.958    1.223    1.333    0.968    1.086    1.070   31.444   -0.313    5.201   -0.887  30.903   0.429     2017  6.551   0.822   1.650     2017  4.073   4.300   0.000  61.414   6.165   3.000   0.000  30.000     2017 19.311    3.955    0.281    0.000    5.764    0.464   29.775    2.474   32.249      2017  2.474    2.612    0.000    3.096   27.171    1.360   20.756    1.852   36.713    0.122
2018   1.028    1.343    1.466    1.059    1.182    1.164   31.857   -0.005    5.154   -0.922  30.470   0.414     2018  6.721   0.814   1.642     2018  3.924   4.554   0.000  60.537   6.152   3.000   0.000  30.000     2018 19.285    3.950    0.297    0.000    5.835    0.429   29.796    2.373   32.168      2018  2.373    2.753    0.000    3.071   27.176    1.396   20.775    1.848   36.770    0.134
2019   1.104    1.475    1.612    1.158    1.288    1.267   32.302    0.379    5.178   -0.953  29.919   0.411     2019  6.890   0.807   1.636     2019  3.772   4.810   0.000  59.681   6.146   3.000   0.000  30.000     2019 19.278    3.949    0.314    0.000    5.903    0.398   29.841    2.273   32.114      2019  2.273    2.899    0.000    3.056   27.181    1.432   20.791    1.828   36.841    0.147
2020   1.185    1.618    1.770    1.264    1.401    1.377   32.774    1.542    5.973   -0.982  28.566   0.417     2020  7.057   0.799   1.629     2020  3.626   5.065   0.000  59.021   6.163   3.000   0.000  30.000     2020 19.343    3.962    0.330    0.000    5.968    0.371   29.974    2.181   32.156      2020  2.181    3.047    0.000    3.046   27.181    1.468   20.805    1.721   36.924    0.160
2021   1.266    1.766    1.934    1.374    1.517    1.490   33.330    1.979    5.998   -1.013  27.857   0.428     2021  7.222   0.791   1.623     2021  3.508   5.328   0.000  58.194   6.177   3.000   0.000  30.000     2021 19.396    3.973    0.348    0.000    6.030    0.348   30.095    2.108   32.203      2021  2.108    3.202    0.000    3.047   27.202    1.503   20.817    1.658   37.063    0.174
2022   1.351    1.921    2.107    1.488    1.638    1.608   33.932    1.998    5.595   -1.042  27.508   0.442     2022  7.373   0.785   1.618     2022  3.401   5.595   0.000  57.202   6.178   3.000   0.000  30.000     2022 19.410    3.975    0.365    0.000    6.086    0.328   30.164    2.044   32.208      2022  2.044    3.363    0.000    3.052   27.238    1.536   20.828    1.662   37.233    0.188
2023   1.441    2.090    2.295    1.612    1.768    1.735   34.504    2.770    5.959   -1.067  26.403   0.457     2023  7.528   0.778   1.613     2023  3.290   5.873   0.000  56.602   6.214   3.000   0.000  30.000     2023 19.530    4.000    0.382    0.000    6.141    0.310   30.364    1.979   32.343      2023  1.979    3.533    0.000    3.058   27.281    1.569   20.837    1.545   37.421    0.202
2024   1.531    2.260    2.484    1.735    1.899    1.863   35.134    3.304    6.054   -1.092  25.500   0.475     2024  7.666   0.772   1.610     2024  3.191   6.161   0.000  55.887   6.246   3.000   0.000  30.000     2024 19.635    4.022    0.399    0.000    6.189    0.296   30.541    1.923   32.465      2024  1.923    3.713    0.000    3.065   27.326    1.598   20.844    1.448   37.626    0.216
2025   1.622    2.431    2.676    1.859    2.031    1.992   35.818    3.593    5.885   -1.118  24.798   0.494     2025  7.789   0.766   1.606     2025  3.106   6.461   0.000  55.068   6.272   3.000   0.000  30.000     2025 19.724    4.040    0.417    0.000    6.231    0.284   30.696    1.878   32.574      2025  1.878    3.907    0.000    3.071   27.368    1.624   20.851    1.367   37.847    0.230
2026   1.714    2.603    2.869    1.984    2.164    2.122   36.538    3.733    5.565   -1.143  24.209   0.514     2026  7.896   0.761   1.604     2026  3.038   6.771   0.000  54.187   6.294   3.000   0.000  30.000     2026 19.799    4.055    0.433    0.000    6.267    0.274   30.828    1.844   32.672      2026  1.844    4.111    0.000    3.074   27.405    1.647   20.856    1.298   38.081    0.244
2027   1.808    2.778    3.065    2.109    2.299    2.254   37.279    3.689    5.067   -1.167  23.779   0.534     2027  7.988   0.757   1.603     2027  2.977   7.086   0.000  53.266   6.310   3.000   0.000  30.000     2027 19.857    4.067    0.450    0.000    6.297    0.263   30.934    1.817   32.752      2027  1.817    4.325    0.000    3.073   27.439    1.666   20.862    1.245   38.322    0.258
2028   1.905    2.955    3.264    2.236    2.436    2.388   38.022    3.524    4.467   -1.188  23.450   0.557     2028  8.066   0.753   1.602     2028  2.918   7.409   0.000  52.333   6.321   3.000   0.000  30.000     2028 19.898    4.075    0.465    0.000    6.323    0.253   31.015    1.792   32.807      2028  1.792    4.550    0.000    3.068   27.468    1.683   20.867    1.205   38.562    0.271
2029   2.004    3.137    3.468    2.365    2.577    2.525   38.755    3.323    3.860   -1.207  23.143   0.581     2029  8.133   0.750   1.603     2029  2.855   7.747   0.000  51.402   6.326   3.000   0.000  30.000     2029 19.921    4.080    0.479    0.000    6.345    0.244   31.069    1.765   32.834      2029  1.765    4.790    0.000    3.057   27.488    1.698   20.872    1.173   38.797    0.283
2030   2.107    3.323    3.678    2.497    2.722    2.666   39.477    3.140    3.301   -1.223  22.809   0.605     2030  8.195   0.747   1.603     2030  2.785   8.104   0.000  50.466   6.325   3.000   0.000  30.000     2030 19.922    4.081    0.492    0.000    6.365    0.235   31.095    1.735   32.830      2030  1.735    5.048    0.000    3.036   27.493    1.711   20.877    1.145   39.022    0.295
2031   2.213    3.516    3.896    2.633    2.871    2.812   40.200    2.944    2.756   -1.236  22.476   0.626     2031  8.255   0.744   1.604     2031  2.713   8.479   0.000  49.511   6.317   3.000   0.000  30.000     2031 19.904    4.077    0.504    0.000    6.385    0.226   31.096    1.702   32.798      2031  1.702    5.320    0.000    3.006   27.481    1.724   20.881    1.115   39.233    0.306
2032   2.321    3.715    4.120    2.772    3.024    2.961   40.907    2.858    2.348   -1.247  22.037   0.646     2032  8.314   0.741   1.604     2032  2.640   8.874   0.000  48.591   6.307   3.000   0.000  30.000     2032 19.877    4.071    0.516    0.000    6.403    0.218   31.085    1.668   32.753      2032  1.668    5.605    0.000    2.967   27.454    1.736   20.885    1.073   39.431    0.317
2033   2.430    3.918    4.349    2.913    3.180    3.113   41.615    2.762    1.948   -1.257  21.596   0.667     2033  8.371   0.738   1.605     2033  2.571   9.286   0.000  47.667   6.292   3.000   0.000  30.000     2033 19.837    4.063    0.526    0.000    6.421    0.211   31.059    1.633   32.692      2033  1.633    5.899    0.000    2.923   27.419    1.749   20.889    1.032   39.623    0.327
2034   2.539    4.124    4.582    3.056    3.337    3.266   42.273    2.595    1.490   -1.267  21.256   0.690     2034  8.428   0.735   1.606     2034  2.502   9.716   0.000  46.827   6.278   3.000   0.000  30.000     2034 19.795    4.054    0.537    0.000    6.439    0.205   31.030    1.597   32.627      2034  1.597    6.202    0.000    2.878   27.384    1.761   20.892    0.992   39.821    0.337
